name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
北京龙软科技股份有限公司, 5, 2.5469, 北京中企华资产评估有限责任公司, 瑞华会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 中国民族证券有限责任公司
广东华特气体股份有限公司, 5, 4.5, 立信会计师事务所（特殊普通合伙）, 广东信达律师事务所, 中信建投证券股份有限公司, 广东联信资产评估土地房地产估价有限公司
江苏浩欧博生物医药股份有限公司, 8, 6.1882, 国浩律师（上海）事务所, 立信会计师事务所（特殊普通合伙）, 北京国融兴华资产评估有限责任公司, 华泰联合证券有限责任公司
聚辰半导体股份有限公司, 5, 7.2749, 立信会计师事务所（特殊普通合伙）, 上海立信资产评估有限公司, 国浩律师（上海）事务所, 中国国际金融股份有限公司
嘉必优生物技术（武汉）股份有限公司首次公开发行股票并在科创板上市, 5, 5.4464, 立信会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 国泰君安证券股份有限公司
安翰科技（武汉）股份有限公司科创板IPO项目, 8, 12, 北京中天华资产评估有限责任公司, 安永华明会计师事务所（特殊普通合伙）, 招商证券股份有限公司, 北京市中伦律师事务所
江西金达莱环保股份有限公司, 8, 10.0876, 中铭国际资产评估（北京）有限责任公司, 招商证券股份有限公司, 北京国枫律师事务所, 中审众环会计师事务所（特殊普通合伙）
杭州当虹科技股份有限公司, 5, 6.0027, 浙江天册律师事务所, 天健会计师事务所（特殊普通合伙）, 坤元资产评估有限公司, 中信证券股份有限公司
沈阳芯源微电子设备股份有限公司, 5, 3.7779, 同致信德（北京）资产评估有限公司, 北京市中伦律师事务所, 容诚会计师事务所（特殊普通合伙）, 国信证券股份有限公司
广州佛朗斯股份有限公司, 8, 6.5992, 广东中广信资产评估有限公司, 天健会计师事务所（特殊普通合伙）, 中联国际评估咨询有限公司, 北京市中伦律师事务所, 广发证券股份有限公司
博拉网络股份有限公司, 8, 5.0485, 北京德恒律师事务所, 立信会计师事务所（特殊普通合伙）, 申万宏源证券承销保荐有限责任公司
江苏卓易信息科技股份有限公司, 5, 3.5, 中信建投证券股份有限公司, 北京天健兴业资产评估有限公司, 北京国枫律师事务所, 天衡会计师事务所（特殊普通合伙）
先临三维科技股份有限公司, 8, 8.143, 浙江天册律师事务所, 天健会计师事务所（特殊普通合伙）, 中国国际金融股份有限公司, 坤元资产评估有限公司
上海赛伦生物技术股份有限公司, 8, 4, 上海众华资产评估有限公司, 大华会计师事务所（特殊普通合伙）, 海通证券股份有限公司, 上海市锦天城律师事务所
江苏北人机器人系统股份有限公司, 5, 3.6203, 东吴证券股份有限公司, 国浩律师（上海）事务所, 中汇会计师事务所（特殊普通合伙）, 天源资产评估有限公司
北京佰仁医疗科技股份有限公司, 5, 4.52, 北京海润天睿律师事务所, 中水致远资产评估有限公司, 致同会计师事务所（特殊普通合伙）, 国信证券股份有限公司
