name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
锐芯微电子股份有限公司, 7, 13.4653, 中信建投证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京国融兴华资产评估有限责任公司
北京盛诺基医药科技股份有限公司, 7, 20.2377, 华西证券股份有限公司, 安永华明会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 国众联资产评估土地房地产估价有限公司
泰州亿腾景昂药业股份有限公司, 7, 13.1565, 国泰君安证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 上海立信资产评估有限公司
精进电动科技股份有限公司, 7, 20, 华泰联合证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 银信资产评估有限公司
北京芯愿景软件技术股份有限公司, 7, 4.6533, 民生证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 沃克森（北京）国际资产评估有限公司
北京华卓精科科技股份有限公司, 7, 10.35, 东兴证券股份有限公司, 大华会计师事务所（特殊普通合伙）, 北京市邦盛律师事务所, 北京中和谊资产评估有限公司
国网智能科技股份有限公司, 8, 10.3417, 中信证券股份有限公司, 致同会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 北京中天和资产评估有限公司
广东奥普特科技股份有限公司, 4, 14.2281, 国信证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 沃克森（北京）国际资产评估有限公司
上海之江生物科技股份有限公司, 4, 13.5589, 海通证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京中企华资产评估有限责任公司
深圳惠泰医疗器械股份有限公司, 4, 8.4048, 中信证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 上海立信资产评估有限公司
天士力生物医药股份有限公司, 2, 24.2566, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 银信资产评估有限公司
吉利汽车控股有限公司, 3, 200, 中国国际金融股份有限公司, 华泰联合证券有限责任公司, 致同会计师事务所（特殊普通合伙）, 北京市金杜律师事务所
云南北方奥雷德光电科技股份有限公司, 2, 5.05, 国泰君安证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 北京中企华资产评估有限责任公司
会通新材料股份有限公司, 5, 17, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 坤元资产评估有限公司
上海博科资讯股份有限公司, 8, 6.3674, 申万宏源证券承销保荐有限责任公司, 毕马威华振会计师事务所（特殊普通合伙）, 上海市通力律师事务所, 上海申威资产评估有限公司, 上海众华资产评估有限公司
前沿生物药业（南京）股份有限公司, 5, 20.0085, 瑞银证券有限责任公司, 毕马威华振会计师事务所（特殊普通合伙）, 国浩律师（南京）事务所
江苏浩欧博生物医药股份有限公司, 4, 6.0882, 华泰联合证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 北京国融兴华资产评估有限责任公司
四方光电股份有限公司, 4, 5.7, 海通证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 国浩律师（杭州）事务所, 沃克森（北京）国际资产评估有限公司
深圳市亚辉龙生物科技股份有限公司, 4, 7.3311, 中信证券股份有限公司, 大华会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 中水致远资产评估有限公司
九号有限公司, 5, 20.7708, 国泰君安证券股份有限公司, 德勤华永会计师事务所（特殊普通合伙）, 北京市中伦律师事务所
